,Negative words,Positive Words,Neutral Words
0,hide,top,jump
1,sadness,create,content
2,sad,top,main
3,sad,exploration,menu
4,negative,free,move
5,cry,glory,navigation
6,anger,emotional,contribute
7,anguish,intelligence,file
8,annoyance,acceptance,language
9,anxiety,admiration,language
10,apathy,affection,link
11,boredom,amusement,page
12,confusion,anticipation,across
13,contempt,confidence,title
14,depression,contentment,search
15,disappointment,courage,personal
16,disgust,desire,tool
17,distrust,ecstasy,account
18,doubt,enthusiasm,log
19,embarrassment,euphoria,page
20,envy,faith,logged
21,fear,gratification,editor
22,frustration,gratitude,learn
23,greed,happiness,content
24,grief,hope,mechanism
25,guilt,interest,empathy
26,hatred,joy,expression
27,horror,kindness,also
28,hostility,love,reading
29,humiliation,passion,toggle
30,jealousy,pleasure,table
31,loneliness,pride,edit
32,outrage,relief,history
33,panic,surprise,action
34,pity,trust,general
35,rage,feeling,item
36,regret,happiness,print
37,rejection,surprise,export
38,remorse,easier,version
39,resentment,allow,project
40,pity,cheering,encyclopedia
41,shame,important,see
42,shock,respect,video
43,shyness,ability,game
44,sorrow,valuable,song
45,suffering,increase,new
46,suspicion,feeling,found
47,worry,significant,radiosurgery
48,pain,increase,album
49,disadvantage,increase,emotion
50,loss,hand,detail
51,despair,help,sculpture
52,grief,motivate,entombment
53,helplessness,support,showing
54,sorrow,engaging,mary
55,lethargic,feeling,part
56,severe,want,series
57,depression,positive,affect
58,depressive,help,classification
59,disorder,helpful,animal
60,disorder,engagement,mood
61,sadness,happy,regulation
62,anger,greater,interpersonal
63,fear,energy,valence
64,disgust,energy,emotion
65,depression,best,angst
66,problem,respectively,arousal
67,serious,endorsed,awe
68,problem,commitment,curiosity
69,loss,determination,elevation
70,distress,hope,detachment
71,loss,surely,lust
72,restless,triumphant,nostalgia
73,sadness,ready,self
74,provoke,creative,social
75,inferior,intelligence,connection
76,death,united,wonder
77,sadness,original,associated
78,sad,happy,individual
79,exclude,dynamic,may
80,shake,healthy,become
81,sorrow,strength,quiet
82,distraction,creativity,withdraw
83,sadness,engaged,example
84,angry,happiness,brought
85,disorder,flirtation,major
86,lowering,good,persistent
87,lower,positive,indication
88,low,creative,one
89,weak,adoration,six
90,low,attraction,basic
91,lost,calmness,along
92,unhappiness,compassion,childhood
93,despair,excitement,girl
94,sadness,infatuation,photo
95,mourning,inspiration,paolo
96,fight,sentimentality,common
97,melancholia,sympathy,experience
98,cry,optimism,childhood
99,missing,security,sometimes
100,sadness,well,lead
101,disgust,passion,family
102,sadness,authority,conscious
103,paradox,agree,unconscious
104,contagion,profit,rule
105,bias,,robin
106,sadness,,cause
107,melancholy,,screened
108,pessimism,,people
109,anger,,shallow
110,dead,,manic
111,mistaken,,pediatrician
112,error,,berry
113,problem,,make
114,agitation,,address
115,agony,,normal
116,cruelty,,process
117,defeat,,child
118,emptiness,,separating
119,homesickness,,early
120,hysteria,,symbiosis
121,insecurity,,mother
122,irritation,,becoming
123,isolation,,independent
124,neglect,,every
125,insult,,time
126,vanity,,separate
127,spite,,little
128,stress,,cope
129,cynicism,,small
130,defeatism,,cannot
131,pessimism,,minor
132,conflict,,involved
133,contagion,,never
134,exhaustion,,deal
135,bullying,,much
136,sadness,,child
137,limited,,right
138,,,fully
139,,,deeply
140,,,saw
141,,,feel
142,,,achievement
143,,,opposed
144,,,warding
145,,,hyperactivity
146,,,similarly
147,,,psychological
148,,,root
149,,,musical
150,,,experience
151,,,later
152,,,life
153,,,neuroanatomy
154,,,large
155,,,amount
156,,,research
157,,,according
158,,,journal
159,,,psychiatry
160,,,bilateral
161,,,activity
162,,,within
163,,,vicinity
164,,,middle
165,,,posterior
166,,,temporal
167,,,cortex
168,,,lateral
169,,,cerebellum
170,,,cerebellar
171,,,vermis
172,,,midbrain
173,,,putamen
174,,,caudate
175,,,pardo
176,,,lead
177,,,program
178,,,cognitive
179,,,positron
180,,,emission
181,,,tomography
182,,,pet
183,,,colleague
184,,,able
185,,,among
186,,,seven
187,,,men
188,,,woman
189,,,think
190,,,thing
191,,,brain
192,,,orbitofrontal
193,,,cortex
194,,,study
195,,,induced
196,,,subject
197,,,film
198,,,clip
199,,,correlated
200,,,regional
201,,,activity
202,,,especially
203,,,prefrontal
204,,,region
205,,,area
206,,,thalamus
207,,,anterior
208,,,structure
209,,,coping
210,,,article
211,,,psychology
212,,,man
213,,,head
214,,,carving
215,,,family
216,,,different
217,,,way
218,,,situation
219,,,include
220,,,getting
221,,,spending
222,,,pet
223,,,list
224,,,express
225,,,individual
226,,,setting
227,,,take
228,,,recover
229,,,citation
230,,,mood
231,,,sometimes
232,,,strategy
233,,,chosen
234,,,ruminating
235,,,one
236,,,permanently
237,,,isolating
238,,,oneself
239,,,alternative
240,,,way
241,,,behavioral
242,,,therapy
243,,,instead
244,,,either
245,,,thought
246,,,event
247,,,attentive
248,,,patient
249,,,way
250,,,solitude
251,,,stay
252,,,approach
253,,,underlying
254,,,belief
255,,,felt
256,,,wholeheartedly
257,,,sense
258,,,aliveness
259,,,outside
260,,,world
261,,,pupil
262,,,size
263,,,indicator
264,,,facial
265,,,pupil
266,,,intensely
267,,,decrease
268,,,person
269,,,mirror
270,,,becomes
271,,,smaller
272,,,face
273,,,pupil
274,,,parallel
275,,,effect
276,,,look
277,,,neutral
278,,,expression
279,,,degree
280,,,mirror
281,,,another
282,,,score
283,,,empathy
284,,,autism
285,,,psychopathy
286,,,expression
287,,,represent
288,,,subtle
289,,,show
290,,,need
291,,,non
292,,,linguistic
293,,,situation
294,,,level
295,,,vocal
296,,,scientist
297,,,current
298,,,speech
299,,,dialogue
300,,,system
301,,,measurement
302,,,distinguish
303,,,human
304,,,voice
305,,,include
306,,,mean
307,,,square
308,,,inter
309,,,word
310,,,silence
311,,,speaking
312,,,rate
313,,,mostly
314,,,variability
315,,,fundamental
316,,,frequency
317,,,besides
318,,,intensity
319,,,decrease
320,,,time
321,,,someone
322,,,slow
323,,,high
324,,,audio
325,,,produced
326,,,likewise
327,,,state
328,,,attribute
329,,,slow
330,,,tempo
331,,,rate
332,,,pitch
333,,,stated
334,,,voice
335,,,although
336,,,generally
337,,,somewhat
338,,,expression
339,,,western
340,,,country
341,,,accuracy
342,,,recognition
343,,,vocal
344,,,non
345,,,western
346,,,result
347,,,cultural
348,,,renaissance
349,,,faerie
350,,,marker
351,,,spiritual
352,,,lord
353,,,ring
354,,,distinguished
355,,,exemplify
356,,,preference
357,,,settled
358,,,temptation
359,,,considered
360,,,diversification
361,,,mood
362,,,variety
363,,,refinement
364,,,imprint
365,,,humanity
366,,,reference
367,,,childhood
368,,,report
369,,,gender
370,,,difference
371,,,sex
372,,,role
373,,,kingdom
374,,,cite
375,,,book
376,,,maint
377,,,location
378,,,publisher
379,,,link
380,,,reason
381,,,robin
382,,,survive
383,,,listen
384,,,child
385,,,magic
386,,,year
387,,,york
388,,,state
389,,,cite
390,,,pine
391,,,birth
392,,,infant
393,,,individuation
394,,,cite
395,,,child
396,,,family
397,,,world
398,,,kingdom
399,,,penguin
400,,,book
401,,,theory
402,,,emotion
403,,,turner
404,,,june
405,,,origin
406,,,emotion
407,,,sociological
408,,,inquiry
409,,,evolution
410,,,affect
411,,,university
412,,,press
413,,,athar
414,,,khan
415,,,june
416,,,fuzzy
417,,,inference
418,,,system
419,,,synergy
420,,,estimation
421,,,simultaneous
422,,,agent
423,,,international
424,,,scientific
425,,,engineering
426,,,research
427,,,aria
428,,,pedro
429,,,kemp
430,,,synthesis
431,,,collaborative
432,,,review
433,,,review
434,,,lane
435,,,neuroanatomical
436,,,correlate
437,,,psychiatry
438,,,pardo
439,,,may
440,,,neural
441,,,self
442,,,induced
443,,,dysphoria
444,,,post
445,,,march
446,,,brain
447,,,transient
448,,,woman
449,,,subjective
450,,,face
451,,,effect
452,,,resource
453,,,one
454,,,journal
455,,,pone
456,,,import
457,,,therapy
458,,,new
459,,,review
460,,,spring
461,,,parson
462,,,august
463,,,dove
464,,,return
465,,,psychoanalysis
466,,,singer
467,,,tania
468,,,pia
469,,,ray
470,,,pupillary
471,,,central
472,,,affective
473,,,scan
474,,,perception
475,,,empathy
476,,,emotion
477,,,emotion
478,,,personality
479,,,speech
480,,,technology
481,,,springer
482,,,lee
483,,,acoustic
484,,,expressed
485,,,speech
486,,,pitch
487,,,pattern
488,,,aloud
489,,,prose
490,,,basis
491,,,selected
492,,,language
493,,,vocal
494,,,emotion
495,,,direction
496,,,science
497,,,communication
498,,,emotion
499,,,paradigm
500,,,communication
501,,,poetics
502,,,modern
503,,,study
504,,,renaissance
505,,,literature
506,,,culture
507,,,ring
508,,,road
509,,,middle
510,,,earth
511,,,mythology
512,,,sister
513,,,definition
514,,,beyond
515,,,simple
516,,,perception
517,,,soc
518,,,advancement
519,,,versus
520,,,subjugation
521,,,status
522,,,conferral
523,,,gray
524,,,permanent
525,,,link
526,,,way
527,,,negotiator
528,,,cognition
529,,,strategy
530,,,august
531,,,attribution
532,,,role
533,,,judgment
534,,,introductory
535,,,infusion
536,,,model
537,,,aim
538,,,bower
539,,,mood
540,,,person
541,,,perception
542,,,judgment
543,,,emotion
544,,,function
545,,,psychology
546,,,list
547,,,emotion
548,,,aesthetic
549,,,vicarious
550,,,enthrallment
551,,,flow
552,,,indulgence
553,,,first
554,,,sight
555,,,mono
556,,,aware
557,,,grandiosity
558,,,chronic
559,,,nihilism
560,,,reclusion
561,,,related
562,,,consciousness
563,,,education
564,,,measure
565,,,psychology
566,,,forecasting
567,,,science
568,,,spectrum
569,,,affectivity
570,,,appeal
571,,,amygdala
572,,,hijack
573,,,art
574,,,memory
575,,,music
576,,,sleep
577,,,functional
578,,,account
579,,,group
580,,,homeostatic
581,,,conversation
582,,,work
583,,,aperture
584,,,blackmail
585,,,competence
586,,,eating
587,,,quotient
588,,,intimacy
589,,,lability
590,,,labor
591,,,lateralization
592,,,literacy
593,,,prosody
594,,,reasoning
595,,,responsivity
596,,,thought
597,,,method
598,,,emotionality
599,,,bounded
600,,,culture
601,,,decision
602,,,making
603,,,workplace
604,,,virtual
605,,,moral
606,,,self
607,,,conscious
608,,,sociology
609,,,tone
610,,,interaction
611,,,executive
612,,,system
613,,,meta
614,,,emotion
615,,,pathognomy
616,,,pathos
617,,,development
618,,,stoic
619,,,appraisal
620,,,discrete
621,,,somatic
622,,,indicate
623,,,name
624,,,foreign
625,,,control
626,,,national
627,,,state
628,,,japan
629,,,republic
630,,,index
631,,,title
632,,,category
633,,,short
634,,,description
635,,,indefinitely
636,,,semi
637,,,article
638,,,statement
639,,,march
640,,,project
641,,,hidden
642,,,external
643,,,welsh
644,,,language
645,,,language
646,,,language
647,,,language
648,,,german
649,,,language
650,,,identifier
651,,,last
652,,,text
653,,,available
654,,,common
655,,,attribution
656,,,license
657,,,additional
658,,,term
659,,,apply
660,,,site
661,,,use
662,,,privacy
663,,,policy
664,,,registered
665,,,foundation
666,,,non
667,,,organization
668,,,policy
669,,,disclaimer
670,,,contact
671,,,code
672,,,conduct
673,,,mobile
674,,,view
675,,,developer
676,,,statistic
677,,,statement
678,,,width
